file,noisy_si_sdr,enhanced_si_sdr,si_sdr_improvement,speech_preservation_db,quiet_noise_reduction_db,quiet_enhanced_rms_dbfs,quiet_low_rms_dbfs,quiet_high_rms_dbfs,quiet_low_high_ratio_db,active_fraction,quiet_fraction,failure_mode
mix_0061.wav,4.94127082824707,14.427860260009766,9.486589431762695,-1.27981866664195,21.328285388327465,-48.58970156013385,-48.52381529474958,-58.47903399009323,9.955218695343644,0.824,0.136,ok
mix_0062.wav,-3.587698459625244,12.494205474853516,16.08190393447876,-1.1678378215991183,28.655886899831124,-44.67955175843105,-37.043194161967016,-72.0401967956729,34.99700263370589,0.88,0.12,ok
mix_0063.wav,3.650540828704834,14.884785652160645,11.23424482345581,-0.6818121479061667,25.833507370052892,-54.95056150257487,-49.602306413777214,-65.79719385304548,16.19488743926828,0.784,0.168,ok
mix_0064.wav,-1.4696961641311646,11.323966979980469,12.793663144111633,-1.5965608957269315,28.672923761906443,-48.872081571178036,-50.137821094176275,-54.88398064543532,4.746159551259046,0.84,0.176,ok
mix_0065.wav,11.069543838500977,16.48855972290039,5.419015884399414,-0.7661856994000505,22.26081445910054,-56.68791294748082,-53.3620400037757,-69.30251229079018,15.940472287014488,0.864,0.136,ok
mix_0066.wav,1.5103806257247925,6.007754325866699,4.497373700141907,-1.5425405416227482,6.91631781477458,-31.196930462745065,-25.19886022478385,-53.0922897032612,27.893429478477344,0.816,0.168,low_freq_wind
mix_0067.wav,-0.33656567335128784,11.622906684875488,11.959472358226776,-1.6960107437368301,21.428155833499236,-46.96537029038835,-48.30862471881509,-56.84851552879699,8.539890809981896,0.928,0.112,ok
mix_0068.wav,-4.596324443817139,6.796364784240723,11.392689228057861,-2.7977003895092696,24.66606043828072,-44.29314728683747,-39.93440149444407,-55.06155790297684,15.12715640853277,0.768,0.192,ok
mix_0069.wav,-0.8015191555023193,5.1334710121154785,5.934990167617798,-4.590153288403409,26.45924554414787,-47.38336776452576,-46.08948071185501,-52.7383167422244,6.648836030369391,0.896,0.072,speech_too_small
mix_0070.wav,9.078606605529785,10.869529724121094,1.7909231185913086,-0.8432771270900287,15.718069166610892,-46.153784821780015,-40.339872678006344,-62.32746189645696,21.987589218450616,0.952,0.056,ok
mix_0071.wav,-4.795764923095703,8.393803596496582,13.189568519592285,-2.5606692819289223,29.04259989366922,-44.282224158889385,-38.3041850202313,-54.06323264756686,15.759047627335557,0.92,0.072,ok
mix_0072.wav,-0.8255501985549927,17.681352615356445,18.506902813911438,-0.7705911747273788,27.75575930894359,-47.43877204467344,-44.58785419068117,-74.22573713827842,29.63788294759725,0.824,0.176,ok
mix_0073.wav,10.379667282104492,13.422452926635742,3.04278564453125,-0.8433822882452863,22.79549271368671,-56.06476221708557,-50.30265511039039,-68.57766668856777,18.27501157817739,0.864,0.136,ok
mix_0074.wav,1.1128709316253662,5.794122695922852,4.681251764297485,-2.309032593894708,12.089715027508042,-36.05833386700226,-30.690127193811595,-56.44583896109607,25.755711767284474,0.824,0.152,low_freq_wind
mix_0075.wav,13.766275405883789,10.449914932250977,-3.3163604736328125,-0.8198950857792275,29.693705811902134,-63.18156759377608,-57.01092361841197,-79.73821633861867,22.727292720206698,0.808,0.184,regression
mix_0076.wav,8.275712013244629,8.849224090576172,0.573512077331543,-1.9743033465205149,22.028975499033532,-52.80066068629107,-56.72631874380204,-56.65616286546613,-0.07015587833591218,0.624,0.368,ok
mix_0077.wav,-4.2855730056762695,11.699211120605469,15.984784126281738,-1.7374659104212857,28.44470546668894,-42.48227149621283,-39.738112644267055,-57.59809317759128,17.859980533324222,0.952,0.048,ok
mix_0078.wav,0.5435062646865845,9.54863452911377,9.005128264427185,-1.7147551623136605,25.23238054370838,-47.20356835247884,-42.35207617946702,-65.38048356185921,23.028407382392192,0.944,0.088,ok
mix_0079.wav,-3.6879632472991943,8.343435287475586,12.03139853477478,-2.3851748483847937,28.13956156923242,-44.09052495964677,-41.21820715608745,-54.18684538927161,12.968638233184166,0.856,0.184,ok
mix_0080.wav,-3.266026020050049,3.695504665374756,6.961530685424805,-1.2785764352144133,8.24490978464586,-27.483432961293715,-23.266959804429877,-52.668268288856865,29.401308484426984,0.968,0.04,low_freq_wind
mix_0081.wav,-3.361937999725342,4.642817497253418,8.00475549697876,-3.333519158244594,17.033641134784755,-37.01446253714166,-33.71196571747822,-58.235611598982615,24.523645881504397,0.864,0.088,low_freq_wind
mix_0082.wav,2.7022483348846436,17.672164916992188,14.969916582107544,-0.7167244889811455,30.31479159716301,-54.51672412367544,-48.888585371222206,-66.96496878677789,18.076383415555686,0.888,0.088,ok
mix_0083.wav,12.108098030090332,12.277700424194336,0.1696023941040039,-0.714953323514236,27.548964949116712,-60.30270282674099,-54.81226974810366,-71.09905920031602,16.28678945221235,0.904,0.08,ok
mix_0084.wav,8.57829475402832,12.754392623901367,4.176097869873047,-1.3083302889941155,22.74228311795955,-53.72710946154642,-52.998422333519876,-80.81374734547197,27.815325011952087,0.936,0.08,ok
mix_0085.wav,7.11733865737915,7.048748016357422,-0.06859064102172852,-2.7022774833137353,21.184979605622413,-49.3962866819371,-52.54875748177409,-54.067564890653756,1.5188074088796666,0.864,0.08,regression
mix_0086.wav,8.343426704406738,14.758136749267578,6.41471004486084,-0.6170972201359944,14.657817610064578,-51.65389034104845,-51.099623497581916,-77.95192425611897,26.852300758537055,0.936,0.064,ok
mix_0087.wav,2.2914280891418457,7.023794174194336,4.73236608505249,-1.5961671354975886,10.24368464359811,-34.701129007882486,-28.06852400470951,-62.31476150426672,34.24623749955721,0.904,0.096,low_freq_wind
mix_0088.wav,7.4588942527771,12.586442947387695,5.127548694610596,-1.3187653032557687,27.176830262557576,-55.25613669026466,-56.18538017828661,-71.76293603593112,15.577555857644523,0.912,0.04,ok
mix_0089.wav,8.607735633850098,6.926807403564453,-1.6809282302856445,-3.7745873108809476,17.583294761163202,-50.2756680473413,-56.65408825989776,-55.34440122254448,-1.309687037353294,0.952,0.064,regression
mix_0090.wav,-3.817746877670288,-1.8073993921279907,2.0103474855422974,-8.59891094688628,23.18447215884571,-39.55105771866578,-37.3098724397839,-44.29434849971508,6.984476059931182,0.736,0.28,speech_too_small
mix_0091.wav,5.0682220458984375,14.3199462890625,9.251724243164062,-1.1210973442233165,26.047128766356256,-53.18563633377317,-53.51278321198236,-60.18335563247611,6.67057242049375,0.912,0.088,ok
mix_0092.wav,8.23838996887207,13.570987701416016,5.332597732543945,-0.9000623534285539,26.239719025392727,-56.84179615103015,-56.697515096336836,-62.38902340715053,5.691508310813703,0.864,0.088,ok
mix_0093.wav,2.2507710456848145,8.112143516540527,5.861372470855713,-2.3221311415149164,27.323314711941258,-49.741963175321715,-49.81199461127164,-54.32990050271727,4.5179058914456265,0.912,0.088,ok
